Dates,DJI_rv,FTSE_rv,GDAXI_rv,N225_rv,EUR_rv
1998-12-10,-9.701375828628196,-9.122027064312297,-7.837920148816556,-9.734035453023008,-13.815510557964274
1998-12-11,-9.298145635931785,-9.091180533593132,-8.013264474887805,-8.854204057692762,-13.815510557964274
1998-12-14,-9.53205792539453,-9.363550716099338,-7.905525012354295,-9.66945075062802,-13.815510557964274
1998-12-15,-9.881183304824734,-9.659708563859311,-7.862182162521046,-9.012516904204134,-13.815510557964274
1998-12-16,-9.285469793377455,-9.698010315442021,-8.715008561680285,-9.860089692216532,-13.815510557964274
1998-12-17,-9.790561567266188,-9.700630573559684,-8.42188805868874,-9.47555655641861,-13.815510557964274
1998-12-18,-10.73019692745668,-8.595446689896926,-8.525428444257779,-9.812710330117064,-13.815510557964274
1998-12-21,-9.445556788736493,-9.36555952839197,-8.468401158483314,-10.221640526190473,-13.815510557964274
1998-12-22,-9.665679007355747,-9.669755829968432,-8.633422273512855,-8.828679215617093,-13.815510557964274
1998-12-23,-9.937453521770024,-10.141174168219644,-8.975908210537385,-9.143100966422868,-13.815510557964274
1998-12-24,-10.912029598610776,-12.302939042462473,-8.973019536017894,-9.604291051161638,-13.815510557964274
1998-12-25,-10.8556496453793,-10.458233713872234,-8.970139181909692,-9.99834534872975,-13.815510557964274
1998-12-28,-10.802279455541566,-9.847420806819907,-8.967267100418914,-9.744621920167724,-13.815510557964274
1998-12-29,-10.090493758612745,-9.47097906795279,-8.896539961936512,-10.03755118592993,-13.815510557964274
1998-12-30,-10.321363089090278,-8.721230248775681,-9.106000330735204,-9.553342020517164,-13.815510557964274
1998-12-31,-10.543207064434501,-8.701846922510677,-8.302288409105579,-9.228497339810655,-13.815510557964274
1999-01-04,-9.10497084936962,-8.682832176590098,-7.862527633108135,-8.983701566712684,-10.050530022227587
1999-01-05,-10.021709666769903,-9.479556556158975,-8.263433876456963,-8.787201340580902,-8.446041469881823
1999-01-06,-10.012863706414343,-9.472951620811001,-8.700782947426578,-9.32038276782951,-9.78921136539722
1999-01-07,-9.806601658981021,-9.357338875967004,-7.703369648080578,-9.04628241022065,-9.39195619393556
1999-01-08,-9.166989933985212,-9.291159989337578,-8.17929087767222,-8.844895858747543,-9.618239381074803
1999-01-10,-9.266789465333572,-9.34776314813748,-7.920023362683321,-9.1574887119235,-9.911176184882857
1999-01-11,-9.377664478095044,-9.407763476336928,-7.714324347516832,-9.614718060523366,-9.69079564628899
1999-01-12,-9.610889373784444,-9.190690718479898,-7.857853238967908,-8.336437718119459,-9.281189444412622
1999-01-13,-8.35515643241245,-8.432784453952339,-6.890012129765629,-9.411845079993695,-9.591244149609633
1999-01-14,-8.765773670932987,-8.468134329191741,-7.123690708329394,-9.208882633927763,-9.079815602653783
1999-01-15,-9.850274724441459,-8.118200806717251,-6.781987477102043,-9.207095502117973,-9.43340303876601
1999-01-17,-9.562403185163502,-8.595067247059973,-7.238619111830194,-9.205311558451506,-9.985341506944646
1999-01-18,-9.339145970982079,-9.539290131180637,-8.103141313261078,-9.203530791573671,-10.049836810997876
1999-01-19,-9.156748646120041,-8.968166873081188,-7.732284816966493,-9.777637746518586,-10.144946491582548
1999-01-20,-8.80096547537326,-9.452089795756914,-8.04853476632047,-8.723233461276541,-10.293948297728699
1999-01-21,-8.642106209521838,-9.178203943209894,-7.770780437765969,-9.40508557929611,-10.204170434514928
1999-01-22,-8.904097383275042,-9.010548147291887,-7.769761610503759,-9.591186645866264,-10.321453212355289
1999-01-24,-8.97537655266559,-8.915470343225392,-7.75384496794117,-9.421389405652185,-10.454341783866223
1999-01-25,-9.052129072565544,-8.828652653941317,-7.73817770085096,-9.27628168633999,-10.298394757436236
1999-01-26,-9.252765752329644,-9.17713394197682,-8.039326400323327,-9.51960014743731,-10.163518219322327
1999-01-27,-9.504026729708395,-9.716554583096373,-8.47228133599505,-9.841838811623074,-10.0865613265089
1999-01-28,-9.788569133598722,-9.50895676826286,-8.289143422572321,-9.920398480728704,-10.11541552420765
1999-01-29,-9.26929328145546,-9.282958275464134,-8.30423635875221,-9.952434257065763,-10.116228077755114
1999-01-31,-9.42481510285719,-9.332150907824296,-8.309078630032271,-10.05343629923462,-10.117041292082803
1999-02-01,-9.609059421800511,-9.383889224010428,-8.31394446304203,-10.165797821480403,-9.707208975929582
1999-02-02,-9.366447629206425,-9.162925963374132,-8.553407034793358,-10.333253713108936,-10.372290814335217
1999-02-03,-9.215307973694976,-9.076828943902825,-8.223024918404466,-10.104123249741836,-10.003203017357217
1999-02-04,-9.007766000453756,-9.127154266522453,-8.491339110625905,-9.135203684448609,-10.128960024163682
1999-02-05,-9.028234807600244,-9.174481385406796,-7.975379101095731,-9.015897746029404,-10.063546888594123
1999-02-07,-9.322397681631267,-9.289205344700827,-7.888006262780538,-9.151313929874764,-10.002151182902578
1999-02-08,-9.74095177278822,-9.418817339722796,-7.8076578052325525,-9.307983203439894,-10.409618917280088
1999-02-09,-9.367224449196508,-9.2442648003925,-7.742584086383896,-10.465043373690126,-10.20097855050579
1999-02-10,-9.236414235513841,-9.161225137769646,-7.69947456023179,-9.147747305787622,-9.97874595284232
1999-02-11,-9.55077738878768,-9.874150942810521,-8.141772193433214,-9.288368774042636,-10.312231717397516
1999-02-12,-8.789135560056568,-9.482584743017203,-8.084508425734493,-9.452051768665866,-10.434925265598885
1999-02-14,-8.952453522422477,-9.750221282807354,-8.314649326547173,-9.53794310096634,-10.574805814358847
1999-02-15,-9.147752121049836,-10.116761958703531,-8.614103566775926,-9.631910880984705,-10.379963896583709
1999-02-16,-9.390682561639188,-9.65263918558182,-8.63364097994796,-10.062753222801446,-9.393122479785477
1999-02-17,-9.10281145351084,-9.914814900578277,-8.243601353248604,-10.085179771009793,-9.725583965703663
1999-02-18,-9.452553921896596,-9.308142542010751,-8.241991332411148,-10.908211140378983,-9.635275821304031
1999-02-19,-9.741396027745933,-10.17237659556681,-8.24422419829176,-10.196077584142389,-9.62608062002485
1999-02-21,-9.588280234310853,-9.941763145999602,-8.41950883051956,-10.242903883173776,-9.616969200665558
1999-02-22,-9.455525709924235,-9.754492477684913,-8.632188979574911,-10.292031067464759,-9.52215582839085
1999-02-23,-8.719924386301713,-9.205996582469805,-8.382041607071884,-9.961334615401807,-9.527455148301774
1999-02-24,-9.398824452669977,-9.127375526397598,-8.857423645970501,-10.44826797008824,-9.858035688367222
1999-02-25,-8.647491485041872,-8.883903280122558,-8.50123912733589,-9.858729096604337,-9.693327260620372
1999-02-26,-8.973998606774934,-9.302373565806514,-8.221299095282607,-10.602259892489236,-9.757708282387837
1999-02-28,-9.103067238691601,-9.26988908436283,-8.07890154746095,-10.449796360587422,-9.826521184964186
1999-03-01,-9.251298383735946,-9.238426728290964,-7.954276552898324,-10.317532199531946,-10.241973711037724
1999-03-02,-9.400295946211893,-9.688951360086643,-7.857505010844229,-8.961222601132828,-10.269502357413254
1999-03-03,-9.470256189470824,-9.713792899104236,-8.258080346154125,-9.572436376593753,-10.18312658272112
1999-03-04,-8.978652999623918,-9.561640231342079,-7.780688406032767,-9.978023116940541,-9.965822718273257
1999-03-05,-9.576056213810553,-9.075664252180763,-8.044918932935682,-8.75373256404756,-10.03324840524726
1999-03-07,-9.676685773701532,-9.290212744592267,-8.16526786335059,-8.898163699939994,-10.105551134232737
1999-03-08,-9.788586416576129,-9.563731875037261,-8.30210796735062,-9.067034676173746,-10.185534761216896
1999-03-09,-9.417891380099222,-9.572580773501448,-8.060197365449756,-8.846382453982557,-10.125770769973684
1999-03-10,-10.060775310014717,-9.439096132946595,-8.050769865151437,-9.379730661667264,-8.753414142323132
1999-03-11,-9.493691102282739,-9.579024243148538,-8.191602677963644,-8.074150726105255,-9.441713544318203
1999-03-12,-9.701895686121519,-9.967514834322277,-8.141508007155068,-9.078164359312611,-9.786718687843084
1999-03-14,-9.857408194752146,-9.667385094455184,-8.174967420546375,-8.8989283840984,-10.317742226917026
1999-03-15,-10.04163943294606,-9.436846643540663,-8.209585237596725,-8.746987534782285,-9.492792954928335
1999-03-16,-9.968756562352667,-9.430988175596188,-8.506096454877348,-8.82486879969063,-9.692698903163228
1999-03-17,-9.710641029449322,-9.535604291764455,-8.698463149194708,-8.932403537275821,-9.704401340593618
1999-03-18,-10.214480761050483,-9.628661712694479,-9.037888786521242,-8.767673686232834,-9.928774680995142
1999-03-19,-9.812638215352258,-9.481071958953544,-8.645084105514051,-8.040118437363267,-10.097602418140639
1999-03-21,-9.969785697131675,-9.52972727809085,-8.702273322785578,-8.292349401364104,-10.30084062265121
1999-03-22,-10.156317921951963,-9.58087155438426,-8.76293259959675,-8.630473522155889,-10.095571943444655
1999-03-23,-9.02840563834116,-9.655946901799945,-8.061395898861349,-9.145164187240201,-9.82906903795527
1999-03-24,-9.58123568840206,-9.114104269521478,-8.102416303497115,-9.140564954459194,-10.137088647306149
1999-03-25,-9.873489328246828,-10.31752396667154,-8.726855994857507,-8.745161537356735,-9.866476382144818
1999-03-26,-9.955028743689649,-9.806492043161473,-7.948140357364576,-8.499016142391087,-9.88013451622927
1999-03-28,-10.00380311167226,-9.94220269666265,-8.213035036441916,-8.935204823027275,-9.893981781094755
1999-03-29,-10.05507894740678,-10.099266465003836,-8.574426377192655,-9.726627937689958,-9.865409606455945
1999-03-30,-9.975208057850558,-9.858910543895172,-8.443471304936034,-8.892491055537588,-9.55686436313251
1999-03-31,-9.639712536399196,-9.632893250019201,-8.939269716882228,-8.082066977243432,-9.42361909617796
1999-04-01,-9.986239342035697,-9.122712913848849,-8.690462329981717,-8.238802673590637,-9.553367407620883
1999-04-02,-10.011545179607461,-9.230250440470702,-8.62601683802009,-9.139937855236516,-9.702496139437558
1999-04-04,-10.037508065731283,-9.35076142155528,-8.56547430795835,-8.915186111284847,-9.877829070904545
1999-04-05,-10.064163031609692,-9.487811142948084,-8.508388870224929,-8.731793861095287,-9.097580452458995
1999-04-06,-9.552246579422333,-9.646672266653178,-8.454386947880208,-8.75191609842471,-9.918940307307855
1999-04-07,-9.439218607132414,-9.715235519578886,-9.006328377033086,-8.797083763246514,-8.944720556900513
1999-04-08,-9.367258010494915,-9.847002626604032,-8.826384264657642,-9.660600707935378,-9.656106027458362
1999-04-09,-9.68979059565648,-9.5043239518041,-8.315069047311807,-8.800986253531415,-9.96939376121686
1999-04-11,-9.552433618641494,-9.644956895913587,-8.46388009573533,-9.035733935054001,-10.428125271777015
1999-04-12,-9.43168521369135,-9.808655448353562,-8.63877374657754,-9.34306057012507,-10.229342447999866
1999-04-13,-9.789990791033292,-9.52359915774757,-8.71827466233313,-9.600216815479339,-10.440088371162439
1999-04-14,-9.145450745408338,-9.968632068295623,-8.793330105394434,-8.693905883481003,-10.261342262965751
1999-04-15,-8.952813777734878,-9.718692179357351,-8.681490857619192,-8.924892458380215,-9.878719110719402
1999-04-16,-9.081126607427546,-9.52952960678438,-9.179861144914778,-9.641700117148702,-9.885825939958494
1999-04-18,-8.526332049907124,-9.69881522660758,-9.239408989356958,-9.414324879403761,-9.892983637950595
1999-04-19,-8.171592125410166,-9.902718067555647,-9.302728562808024,-9.229192114120478,-10.125118773516062
1999-04-20,-8.733995270527586,-9.263113255463404,-8.944435314429368,-9.296473578002828,-10.29892934560206
1999-04-21,-9.19714520853161,-9.76614438840625,-9.068791761629319,-9.039369363661427,-9.78865946124853
1999-04-22,-9.425472392364068,-9.824401237737415,-9.298994439576282,-9.550947028724282,-9.71149673187803
1999-04-23,-9.511374732441423,-10.192589299205968,-9.13197113766057,-9.566046141985728,-10.104992871588891
1999-04-25,-9.610260544417939,-10.255502667959343,-9.21387424919794,-9.736059355627368,-10.763069404346615
1999-04-26,-9.720008711319192,-10.32264145071542,-9.303088756876358,-9.941019866961065,-10.36102635774263
1999-04-27,-9.4353828917064,-10.111810383323757,-9.352549922418211,-9.589311404062084,-10.219076392067606
1999-04-28,-9.519469147959448,-10.87848280345102,-9.3158652408237,-9.386765478765177,-10.167218376649059
